All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     assembly_consensus
# misassemblies              9                 
  # contig misassemblies     9                 
    # c. relocations         9                 
    # c. translocations      0                 
    # c. inversions          0                 
  # scaffold misassemblies   0                 
    # s. relocations         0                 
    # s. translocations      0                 
    # s. inversions          0                 
# misassembled contigs       5                 
Misassembled contigs length  13662233          
# local misassemblies        2483              
# scaffold gap ext. mis.     0                 
# scaffold gap loc. mis.     0                 
# possible TEs               2                 
# unaligned mis. contigs     14                
# mismatches                 717726            
# indels                     827493            
    # indels (<= 5 bp)       803287            
    # indels (> 5 bp)        24206             
Indels length                1410416           
