ref_start,ref_end,query_start,query_end,ref_length,query_length,ref,query,tag
11634382,11638816,4699970,4704332,64444167,5342995,chr20,utg000001l,repetitive
11632785,11638805,335678,329775,64444167,5342995,chr20,utg000001l,repetitive
12801017,12807038,329775,335678,64444167,5342995,chr20,utg000001l,repetitive
18293270,18315927,5342995,5321003,64444167,5342995,chr20,utg000001l,unique
18316257,18332339,5320732,5305191,64444167,5342995,chr20,utg000001l,unique
18334043,18427602,5303769,5212582,64444167,5342995,chr20,utg000001l,unique
18428166,18513316,5212049,5129255,64444167,5342995,chr20,utg000001l,unique
18530043,18615620,5113067,5030277,64444167,5342995,chr20,utg000001l,unique
18624923,18675877,5021323,4971719,64444167,5342995,chr20,utg000001l,unique
18675877,18688682,4971411,4958898,64444167,5342995,chr20,utg000001l,unique
18689893,18695583,4957556,4952053,64444167,5342995,chr20,utg000001l,unique
18708220,18749465,4939842,4899735,64444167,5342995,chr20,utg000001l,unique
18761233,18776728,4888237,4873194,64444167,5342995,chr20,utg000001l,unique
18776604,19078346,4873534,4579098,64444167,5342995,chr20,utg000001l,unique
18949968,18954391,329776,334130,64444167,5342995,chr20,utg000001l,repetitive
19084470,19124715,4573199,4534082,64444167,5342995,chr20,utg000001l,unique
19125151,19189432,4533659,4470859,64444167,5342995,chr20,utg000001l,unique
19189706,19317258,4470730,4346267,64444167,5342995,chr20,utg000001l,unique
19317337,19588230,4346190,4081326,64444167,5342995,chr20,utg000001l,unique
19598309,19648940,4071681,4022403,64444167,5342995,chr20,utg000001l,unique
19663404,19678418,4008075,3993568,64444167,5342995,chr20,utg000001l,unique
19678602,19754742,3993419,3919129,64444167,5342995,chr20,utg000001l,unique
19758210,19822478,3915842,3853298,64444167,5342995,chr20,utg000001l,unique
19822931,19922016,3852860,3756644,64444167,5342995,chr20,utg000001l,unique
19924752,19941640,3754001,3737595,64444167,5342995,chr20,utg000001l,unique
19944131,19995486,3735181,3685213,64444167,5342995,chr20,utg000001l,unique
20006838,20071191,3674297,3611657,64444167,5342995,chr20,utg000001l,unique
20083868,20276521,3599262,3411245,64444167,5342995,chr20,utg000001l,unique
20278017,20296529,3409782,3391697,64444167,5342995,chr20,utg000001l,unique
20296529,20320543,3391447,3368024,64444167,5342995,chr20,utg000001l,unique
20320316,20337677,3367422,3350401,64444167,5342995,chr20,utg000001l,unique
20337692,20355013,3349229,3332468,64444167,5342995,chr20,utg000001l,unique
20363025,20383754,3323874,3303837,64444167,5342995,chr20,utg000001l,unique
20391613,20421320,3296195,3267246,64444167,5342995,chr20,utg000001l,unique
20431991,20458868,3256841,3230647,64444167,5342995,chr20,utg000001l,unique
20458868,20594276,3230477,3098295,64444167,5342995,chr20,utg000001l,unique
20597386,20687157,3095271,3007804,64444167,5342995,chr20,utg000001l,unique
20705961,20726717,2989605,2969489,64444167,5342995,chr20,utg000001l,unique
20736722,20819211,2959781,2879530,64444167,5342995,chr20,utg000001l,unique
20830393,21004893,2868027,2698121,64444167,5342995,chr20,utg000001l,unique
21007046,21100326,2696035,2605004,64444167,5342995,chr20,utg000001l,unique
21133135,21256893,2572081,2451619,64444167,5342995,chr20,utg000001l,unique
21257205,21299161,2451334,2410581,64444167,5342995,chr20,utg000001l,unique
21303435,21351792,2406461,2359386,64444167,5342995,chr20,utg000001l,unique
21355742,21496984,2355576,2217674,64444167,5342995,chr20,utg000001l,unique
21514583,21546106,2200910,2170505,64444167,5342995,chr20,utg000001l,unique
21546389,21709362,2170240,2011366,64444167,5342995,chr20,utg000001l,unique
21721216,21869262,1999343,1854803,64444167,5342995,chr20,utg000001l,unique
21869552,22082602,1854707,1646503,64444167,5342995,chr20,utg000001l,unique
22085366,22125066,1643804,1605046,64444167,5342995,chr20,utg000001l,unique
22138003,22178904,1592372,1552292,64444167,5342995,chr20,utg000001l,unique
22187027,22471744,1544409,1266021,64444167,5342995,chr20,utg000001l,unique
22471993,22505502,1263789,1231150,64444167,5342995,chr20,utg000001l,unique
22526506,22580579,1210926,1158595,64444167,5342995,chr20,utg000001l,unique
22589651,22637997,1150089,1102861,64444167,5342995,chr20,utg000001l,unique
22638205,22692882,1102702,1049366,64444167,5342995,chr20,utg000001l,unique
22694703,22762362,1048078,982058,64444167,5342995,chr20,utg000001l,unique
22762476,22799297,982039,946242,64444167,5342995,chr20,utg000001l,unique
22803010,22882801,942636,864641,64444167,5342995,chr20,utg000001l,unique
22882801,22950805,864504,798049,64444167,5342995,chr20,utg000001l,unique
22951157,23028813,797708,721875,64444167,5342995,chr20,utg000001l,unique
23029049,23056046,721648,695539,64444167,5342995,chr20,utg000001l,unique
23058422,23119963,693227,633500,64444167,5342995,chr20,utg000001l,unique
23129179,23155583,624877,599255,64444167,5342995,chr20,utg000001l,unique
23158353,23268057,596458,489517,64444167,5342995,chr20,utg000001l,unique
23268057,23296108,489406,462090,64444167,5342995,chr20,utg000001l,unique
23303980,23499963,454603,263547,64444167,5342995,chr20,utg000001l,unique
23427715,23432132,4699970,4704314,64444167,5342995,chr20,utg000001l,repetitive
23512594,23531824,251353,232667,64444167,5342995,chr20,utg000001l,unique
23542945,23561054,222008,204248,64444167,5342995,chr20,utg000001l,unique
23567079,23579680,198542,186252,64444167,5342995,chr20,utg000001l,unique
23585730,23624710,180201,142198,64444167,5342995,chr20,utg000001l,unique
23628910,23649554,138109,118227,64444167,5342995,chr20,utg000001l,unique
23650169,23693333,117638,75831,64444167,5342995,chr20,utg000001l,unique
23704323,23765581,65146,5293,64444167,5342995,chr20,utg000001l,unique
36698856,36714409,6148103,6133154,64444167,6148103,chr20,utg000002l,unique
36727860,36743882,6120365,6104942,64444167,6148103,chr20,utg000002l,unique
36769953,36780909,6080061,6069473,64444167,6148103,chr20,utg000002l,unique
36800903,36821532,6050339,6030436,64444167,6148103,chr20,utg000002l,unique
