ref_start,ref_end,query_start,query_end,ref_length,query_length,ref,query,tag,alignment_length
64096709,64127944,2802,33052,64444167,187423,chr20,tig00000161,unique,64125142
64131835,64162917,37926,68122,64444167,187423,chr20,tig00000161,unique,64124991
64170915,64193184,75881,97471,64444167,187423,chr20,tig00000161,unique,64117303
64208037,64227113,111739,130335,64444167,187423,chr20,tig00000161,unique,64115374
64277978,64285948,179595,187422,64444167,187423,chr20,tig00000161,unique,64106353
64270925,64277738,172852,179505,64444167,187423,chr20,tig00000161,unique,64104886
63778153,63827041,85804,133332,64444167,247640,chr20,tig00000126,unique,63741237
63849950,63880561,155484,185072,64444167,247640,chr20,tig00000126,unique,63725077
63886256,63913094,190542,216609,64444167,247640,chr20,tig00000126,unique,63722552
63919727,63936666,223441,239877,64444167,247640,chr20,tig00000126,unique,63713225
63709285,63731659,19227,41012,64444167,247640,chr20,tig00000126,unique,63712432
63751677,63771001,60360,79100,64444167,247640,chr20,tig00000126,unique,63710641
63831146,63847338,137319,152973,64444167,247640,chr20,tig00000126,unique,63710019
63736001,63747581,45068,56310,64444167,247640,chr20,tig00000126,unique,63702513
63644427,63669308,2338,26461,64444167,34377,chr20,tig00000213,unique,63666970
63498707,63534918,44477,79728,64444167,183306,chr20,tig00000131,unique,63490441
63619433,63636355,161951,178388,64444167,183306,chr20,tig00000131,unique,63474404
63595974,63610013,138446,152058,64444167,183306,chr20,tig00000131,unique,63471567
63610501,63617790,153239,160291,64444167,183306,chr20,tig00000131,unique,63464551
63577574,63585404,120987,128538,64444167,183306,chr20,tig00000131,unique,63464417
63553516,63559593,97393,103269,64444167,183306,chr20,tig00000131,unique,63462200
63167577,63235401,13320,79493,64444167,264591,chr20,tig00000159,unique,63222081
63294198,63351265,137153,192537,64444167,264591,chr20,tig00000159,unique,63214112
63372661,63405050,214407,246095,64444167,264591,chr20,tig00000159,unique,63190643
63235402,63266930,79969,110614,64444167,264591,chr20,tig00000159,unique,63186961
63269169,63294194,112762,136957,64444167,264591,chr20,tig00000159,unique,63181432
63409756,63421330,250594,261727,64444167,264591,chr20,tig00000159,unique,63170736
63361612,63372476,203824,214407,64444167,264591,chr20,tig00000159,unique,63168652
63158310,63167577,3388,12394,64444167,264591,chr20,tig00000159,unique,63164189
