ref_start,ref_end,query_start,query_end,ref_length,query_length,ref,query,tag
5112554,5135949,69709,92224,64444167,12314368,chr20,tig00000001,unique
5163274,5183145,118278,137473,64444167,12314368,chr20,tig00000001,unique
5183145,5200055,137584,153898,64444167,12314368,chr20,tig00000001,unique
5213052,5250723,166084,202487,64444167,12314368,chr20,tig00000001,unique
5261579,5268744,212704,219670,64444167,12314368,chr20,tig00000001,unique
5310660,5336897,260682,286189,64444167,12314368,chr20,tig00000001,unique
5348265,5366681,297160,314902,64444167,12314368,chr20,tig00000001,unique
5369789,5379727,317531,327175,64444167,12314368,chr20,tig00000001,unique
5393326,5451161,339756,395812,64444167,12314368,chr20,tig00000001,unique
5472148,5504092,415006,445761,64444167,12314368,chr20,tig00000001,unique
5513825,5524662,455034,465531,64444167,12314368,chr20,tig00000001,unique
5524925,5576061,465531,514963,64444167,12314368,chr20,tig00000001,unique
5594476,5614437,532317,551494,64444167,12314368,chr20,tig00000001,unique
5616274,5637146,553183,572856,64444167,12314368,chr20,tig00000001,unique
5681023,5693393,613567,625467,64444167,12314368,chr20,tig00000001,unique
5706336,5710440,636871,640716,64444167,12314368,chr20,tig00000001,unique
5817457,5828654,741817,752603,64444167,12314368,chr20,tig00000001,unique
5832402,5850106,755870,772922,64444167,12314368,chr20,tig00000001,unique
5887752,5926047,808399,845183,64444167,12314368,chr20,tig00000001,unique
5935718,5956517,854350,874406,64444167,12314368,chr20,tig00000001,unique
5968407,5984434,885471,900863,64444167,12314368,chr20,tig00000001,unique
5988979,6001256,905075,916884,64444167,12314368,chr20,tig00000001,unique
6002520,6011577,917965,926688,64444167,12314368,chr20,tig00000001,unique
6018758,6038281,933497,952259,64444167,12314368,chr20,tig00000001,unique
6040696,6046989,954469,960471,64444167,12314368,chr20,tig00000001,unique
6047116,6068688,960478,981080,64444167,12314368,chr20,tig00000001,unique
6068688,6109408,981225,1020452,64444167,12314368,chr20,tig00000001,unique
6113474,6130980,1024237,1041128,64444167,12314368,chr20,tig00000001,unique
6131149,6147197,1041238,1056748,64444167,12314368,chr20,tig00000001,unique
6179224,6209442,1087163,1116490,64444167,12314368,chr20,tig00000001,unique
6219725,6230639,1126149,1136781,64444167,12314368,chr20,tig00000001,unique
6248072,6254632,1153254,1159598,64444167,12314368,chr20,tig00000001,unique
6270501,6288552,1175081,1192576,64444167,12314368,chr20,tig00000001,unique
6289012,6310651,1192708,1213666,64444167,12314368,chr20,tig00000001,unique
6360499,6376894,1261880,1277777,64444167,12314368,chr20,tig00000001,unique
6378053,6403640,1278521,1303448,64444167,12314368,chr20,tig00000001,unique
6411490,6578216,1310948,1472781,64444167,12314368,chr20,tig00000001,unique
6579216,6596327,1473714,1490366,64444167,12314368,chr20,tig00000001,unique
6598846,6606089,1492512,1499551,64444167,12314368,chr20,tig00000001,unique
